Consumptionomics,Nair,Economics,EN,Berlin
Dear under cover economist,Tim Harford,Economics,EN,Berlin
Freakonomics,"Steven D. Levitt, Stephen J. Durner",Economics,EN,Berlin
The mystery of capital,Hernando de Soto,Economics,EN,Berlin
The strategy of conflict,Thomas C. Schelling,Economics,EN,Berlin
A Collection of Essays,George Orwell,Essays,EN,Berlin
Der Herr der Ringe,John R. R. Tolkien,Fantasy,DE,Berlin
The brothers grimm volume 2,Grimm,Fantasy,EN,Berlin
Crossroads of twilight,Robert Jordan,Fantasy,EN,Berlin
Lover beware,"Christine feehan, Katherine Sutcliffe, Fiona Brand, Eileen Wilks",Fantasy,EN,Berlin
New Spring,Robert Jordan,Fantasy,EN,Berlin
The scarecrows,Robert westall,Fantasy,EN,Berlin
Living dolls - the return of sexism,Natasha walter,Feminism,DE,Berlin
Wir alpha-mädchen,"Meredith haaf, Susanne Klingner, Barbara streidl",Feminism,DE,Berlin
Black Beauty,Anna sewell,Fiction,EN,Berlin
The lost symbol,Dan brown,Fiction,EN,Berlin
Amok,Stefan Zweig,Fiction,DE,Berlin
Abschied von Gülsary,Tschingis Aitmatow,Fiction,DE,Berlin
Allerseelen,Cees Nooteboom,Fiction,DE,Berlin
Alles echt Berlin,Billi Wowerath,Fiction,DE,Berlin
Am Beispiel des Hummers,David Foster Wallace,Fiction,DE,Berlin
Andorra,Max frish,Fiction,DE,Berlin
Angulus Durus: Traum einer lächerlichen menschen,Gremar grimsen & Sven Regener,Fiction,DE,Berlin
Anleitung zum Müßiggang,Tom Hodgkinson,Fiction,DE,Berlin
Atemschaukel,Herta Müller,Fiction,DE,Berlin
Baudolino,Umberto Eco,Fiction,DE,Berlin
Brief an den vater,Franz Kafka,Fiction,DE,Berlin
Bronstein Kinder,Jurek Becker,Fiction,DE,Berlin
Buddenbrooks,Thomas Mann,Fiction,DE,Berlin
Das Bildnis des dorian gray,Oscar wilde,Fiction,DE,Berlin
Das buch der lächerlichen liebe,Milan Kundera,Fiction,DE,Berlin
Das Dschungelbuch,Rudyard Kipling,Fiction,DE,Berlin
Das Hotel Hampshire john irving,John Irving,Fiction,DE,Berlin
Das leichenbegängnis der grossen mama und andere erzâhlungen,Gabriel Garcia Marquez,Fiction,DE,Berlin
Das treibhaus,Wolfgang Koeppen,Fiction,DE,Berlin
Demian,Hermann Hesse,Fiction,DE,Berlin
Der alchemist,Paulo Coelho,Fiction,DE,Berlin
